Tweet ID,Full Text,Mask Sentiment,Language
1274158597832933379,"""The Trump campaign said each attendee will receive a mask and hand sanitizer, and will have to undergo a temperature check before entering the BOK Center."" Masks will be recommended but not required. 

Is hosting a political rally at this point in the pandemic responsible? https://t.co/rJQgusMdUc",Pro-Mask,English,
1273567234699538437,"@TulsaTrinity A friend’s son is a part time bartender in an pub in an upscale Indy suburb.  Packed, no social distancing, rude customers and one lady tried to tear off his mask!  You are making the right decision!",Pro-Mask,English,
1271062030401888256,"Public Service Announcement:

Wear a damn mask people. 

You can’t complain about where the COVID19 numbers are &amp; about your restrictions if you won’t do the minimum* that’s requested of you in public. 

#Masks4Canada @APMACanada https://t.co/XSCM3NLDC5",Pro-Mask,English,
1284603752960405506,@ttttttttttwit @jere7my @voxdotcom You can find hundreds on the internet if you just search in trusted websites. The AAPS is all pseudoscientific and I recommend you not to follow it but it's up to you. The CDC link I posted under the main tweet has many references of research that shows the effectiveness of masks,Pro-Mask,English,
1283622057973108738,"Universal Masking to Prevent SARS-CoV-2 Transmission—The Time Is Now by John Brooks, MD; Jay Butler, MD; Robert Redfield, MD

Although not a randomized clinical trial, the study indicates that universal masking helped prevent transmission of SARS-CoV-2.

https://t.co/Lvp32hUxN0",Pro-Mask,English,
1230724883383906305,"FBI orders $40,000 in hand sanitizer and face masks ‘in case the coronavirus becomes pandemic’ | The Extinction Protocol https://t.co/izVZP34cgz",Pro-Mask,English,
1287873980091658242,"@JeanJend @THEHermanCain @realDonaldTrump Ok Scientist!! What we Scientist DO KNOW is wearing a mask, social distancing and washing your hands help prevent the spread of COVID19..OR NAH?",Pro-Mask,English,
1288527711732932608,"@fairygodmary Idk, wearing masks in a pandemic instead of listening to doctors about alien dna vaccines is hot",Pro-Mask,English,
1263160661900701696,"@pyrusbunny I’d rather wait out the entire pandemic until it’s necessarily safe. Even if it were the case, I will still be wearing a mask thank you. I’ll let those who go outside for the lols get COVID, I’m one of the many who are trying to survive this thing.",Pro-Mask,English,
1239757258784821250,"@narendramodi @mygovindia Proud of my Indian prime Minister Narendra Modi ji 
All country very well supported my India prime Minister Narendra Modi ji 🌹🙏
COVID-19 awadh in India careful all India public every people in mask use  careful my life my hand
 🙏🙏",Pro-Mask,Multiple,
1270369955599601664,Next stop: Socastee High School. Folks tell me the Q-tip method for voting is going smoothly &amp; good social distancing in line. Many wearing masks to the polls @wpdeabc15 https://t.co/UWe28Gumq5,Pro-Mask,English,
1300193561791602689,"People ask me why #Coronavirus #Covid_19 #pandemia cases and DEATHS continue SPIKING despite people applying #SocialDistancing and #WearAMask measures, ask no more:

These people are k!ll!ng their relatives, by the way, don't fool yourself. https://t.co/xPtcm126ax",Pro-Mask,English,
1281219087138349056,Wear a mask!,Pro-Mask,English,
1261401046741647363,"We cannot possibly thank the Greater Lafayette Chinese Community (@GLCCIN) enough for their wonderful mask donations to help keep our clinicians and nurse safe!

#COVID19 #gratitude #vetlife #PurdueUniversity @LifeAtPurdue 

Learn more at https://t.co/IX9Ufro4O7",Pro-Mask,English,
